指标,地区,时间,数值
中央补助收入（万元）,浙江省,2018,11859500.00000
中央补助收入（万元）,浙江省,2019,13766400.00000
中央补助收入（万元）,浙江省,2020,13890400.00000
中央补助收入（万元）,浙江省,2021,13280900.00000
中央补助收入（万元）,浙江省,2022,19029200.00000
中央补助收入（万元）,浙江省,2023,19872300.00000
中央补助收入（万元）,浙江省,2024,17471500.00000
中央补助收入（万元）,    宁波市,1995,228343.00000
中央补助收入（万元）,    宁波市,1996,
中央补助收入（万元）,    宁波市,1997,269595.00000
中央补助收入（万元）,    宁波市,1998,269689.00000
中央补助收入（万元）,    宁波市,1999,276244.00000
中央补助收入（万元）,    宁波市,2000,313155.00000
中央补助收入（万元）,    宁波市,2001,313904.00000
中央补助收入（万元）,    宁波市,2002,474298.00000
中央补助收入（万元）,    宁波市,2003,543105.00000
中央补助收入（万元）,    宁波市,2004,810415.00000
中央补助收入（万元）,    宁波市,2005,588387.00000
中央补助收入（万元）,    宁波市,2006,631609.00000
中央补助收入（万元）,    宁波市,2007,710435.00000
中央补助收入（万元）,    宁波市,2008,759052.00000
中央补助收入（万元）,    宁波市,2009,861295.00000
中央补助收入（万元）,    宁波市,2010,1013600.00000
中央补助收入（万元）,    宁波市,2011,1300300.00000
中央补助收入（万元）,    宁波市,2012,1299200.00000
中央补助收入（万元）,    宁波市,2013,1323800.00000
中央补助收入（万元）,    宁波市,2014,1307900.00000
中央补助收入（万元）,    宁波市,2015,1400100.00000
中央补助收入（万元）,    宁波市,2016,1039800.00000
中央补助收入（万元）,    宁波市,2017,1202500.00000
中央补助收入（万元）,    宁波市,2018,1096200.00000
中央补助收入（万元）,    宁波市,2019,1428900.00000
中央补助收入（万元）,    宁波市,2020,1307000.00000
中央补助收入（万元）,    宁波市,2021,1360700.00000
中央补助收入（万元）,    宁波市,2022,2111500.00000
中央补助收入（万元）,    宁波市,2023,2435700.00000
中央补助收入（万元）,    宁波市,2024,1890300.00000
中央补助收入（万元）,安徽省,1995,622708.00000
中央补助收入（万元）,安徽省,1996,725530.00000
中央补助收入（万元）,安徽省,1997,753763.00000
中央补助收入（万元）,安徽省,1998,987991.00000
中央补助收入（万元）,安徽省,1999,1329121.00000
